Web Search interest: zidane headbutt
Worldwide; Jul 2006 - Jun 2009

Interest over time
Week,zidane headbutt
2006-07-02 - 2006-07-08,0
2006-07-09 - 2006-07-15,100
2006-07-16 - 2006-07-22,11
2006-07-23 - 2006-07-29,5
2006-07-30 - 2006-08-05,4
2006-08-06 - 2006-08-12,2
2006-08-13 - 2006-08-19,1
2006-08-20 - 2006-08-26,1
2006-08-27 - 2006-09-02,1
2006-09-03 - 2006-09-09,1
2006-09-10 - 2006-09-16,1
2006-09-17 - 2006-09-23,1
2006-09-24 - 2006-09-30,1
2006-10-01 - 2006-10-07,1
2006-10-08 - 2006-10-14,1
2006-10-15 - 2006-10-21,1
2006-10-22 - 2006-10-28,1
2006-10-29 - 2006-11-04,1
2006-11-05 - 2006-11-11,0
2006-11-12 - 2006-11-18,0
2006-11-19 - 2006-11-25,0
2006-11-26 - 2006-12-02,0
2006-12-03 - 2006-12-09,0
2006-12-10 - 2006-12-16,0
2006-12-17 - 2006-12-23,0
2006-12-24 - 2006-12-30,0
2006-12-31 - 2007-01-06,0
2007-01-07 - 2007-01-13,0
2007-01-14 - 2007-01-20,0
2007-01-21 - 2007-01-27,0
2007-01-28 - 2007-02-03,0
2007-02-04 - 2007-02-10,1
2007-02-11 - 2007-02-17,1
2007-02-18 - 2007-02-24,1
2007-02-25 - 2007-03-03,1
2007-03-04 - 2007-03-10,0
2007-03-11 - 2007-03-17,0
2007-03-18 - 2007-03-24,0
2007-03-25 - 2007-03-31,0
2007-04-01 - 2007-04-07,0
2007-04-08 - 2007-04-14,0
2007-04-15 - 2007-04-21,0
2007-04-22 - 2007-04-28,0
2007-04-29 - 2007-05-05,0
2007-05-06 - 2007-05-12,0
2007-05-13 - 2007-05-19,0
2007-05-20 - 2007-05-26,0
2007-05-27 - 2007-06-02,0
2007-06-03 - 2007-06-09,0
2007-06-10 - 2007-06-16,0
2007-06-17 - 2007-06-23,0
2007-06-24 - 2007-06-30,0
2007-07-01 - 2007-07-07,0
2007-07-08 - 2007-07-14,0
2007-07-15 - 2007-07-21,0
2007-07-22 - 2007-07-28,0
2007-07-29 - 2007-08-04,0
2007-08-05 - 2007-08-11,0
2007-08-12 - 2007-08-18,0
2007-08-19 - 2007-08-25,0
2007-08-26 - 2007-09-01,0
2007-09-02 - 2007-09-08,0
2007-09-09 - 2007-09-15,0
2007-09-16 - 2007-09-22,0
2007-09-23 - 2007-09-29,0
2007-09-30 - 2007-10-06,0
2007-10-07 - 2007-10-13,0
2007-10-14 - 2007-10-20,0
2007-10-21 - 2007-10-27,0
2007-10-28 - 2007-11-03,0
2007-11-04 - 2007-11-10,0
2007-11-11 - 2007-11-17,0
2007-11-18 - 2007-11-24,0
2007-11-25 - 2007-12-01,0
2007-12-02 - 2007-12-08,0
2007-12-09 - 2007-12-15,0
2007-12-16 - 2007-12-22,0
2007-12-23 - 2007-12-29,0
2007-12-30 - 2008-01-05,0
2008-01-06 - 2008-01-12,0
2008-01-13 - 2008-01-19,0
2008-01-20 - 2008-01-26,0
2008-01-27 - 2008-02-02,0
2008-02-03 - 2008-02-09,0
2008-02-10 - 2008-02-16,0
2008-02-17 - 2008-02-23,0
2008-02-24 - 2008-03-01,0
2008-03-02 - 2008-03-08,0
2008-03-09 - 2008-03-15,0
2008-03-16 - 2008-03-22,0
2008-03-23 - 2008-03-29,0
2008-03-30 - 2008-04-05,0
2008-04-06 - 2008-04-12,0
2008-04-13 - 2008-04-19,0
2008-04-20 - 2008-04-26,0
2008-04-27 - 2008-05-03,0
2008-05-04 - 2008-05-10,0
2008-05-11 - 2008-05-17,0
2008-05-18 - 2008-05-24,0
2008-05-25 - 2008-05-31,0
2008-06-01 - 2008-06-07,0
2008-06-08 - 2008-06-14,0
2008-06-15 - 2008-06-21,0
2008-06-22 - 2008-06-28,0
2008-06-29 - 2008-07-05,0
2008-07-06 - 2008-07-12,0
2008-07-13 - 2008-07-19,0
2008-07-20 - 2008-07-26,0
2008-07-27 - 2008-08-02,0
2008-08-03 - 2008-08-09,0
2008-08-10 - 2008-08-16,0
2008-08-17 - 2008-08-23,0
2008-08-24 - 2008-08-30,0
2008-08-31 - 2008-09-06,0
2008-09-07 - 2008-09-13,0
2008-09-14 - 2008-09-20,0
2008-09-21 - 2008-09-27,0
2008-09-28 - 2008-10-04,0
2008-10-05 - 2008-10-11,0
2008-10-12 - 2008-10-18,0
2008-10-19 - 2008-10-25,0
2008-10-26 - 2008-11-01,0
2008-11-02 - 2008-11-08,0
2008-11-09 - 2008-11-15,0
2008-11-16 - 2008-11-22,0
2008-11-23 - 2008-11-29,0
2008-11-30 - 2008-12-06,0
2008-12-07 - 2008-12-13,0
2008-12-14 - 2008-12-20,0
2008-12-21 - 2008-12-27,0
2008-12-28 - 2009-01-03,0
2009-01-04 - 2009-01-10,0
2009-01-11 - 2009-01-17,0
2009-01-18 - 2009-01-24,0
2009-01-25 - 2009-01-31,0
2009-02-01 - 2009-02-07,0
2009-02-08 - 2009-02-14,0
2009-02-15 - 2009-02-21,0
2009-02-22 - 2009-02-28,0
2009-03-01 - 2009-03-07,0
2009-03-08 - 2009-03-14,0
2009-03-15 - 2009-03-21,0
2009-03-22 - 2009-03-28,0
2009-03-29 - 2009-04-04,0
2009-04-05 - 2009-04-11,0
2009-04-12 - 2009-04-18,0
2009-04-19 - 2009-04-25,0
2009-04-26 - 2009-05-02,0
2009-05-03 - 2009-05-09,0
2009-05-10 - 2009-05-16,0
2009-05-17 - 2009-05-23,0
2009-05-24 - 2009-05-30,0
2009-05-31 - 2009-06-06,0
2009-06-07 - 2009-06-13,0
2009-06-14 - 2009-06-20,0
2009-06-21 - 2009-06-27,0
2009-06-28 - 2009-07-04,0


Top regions for zidane headbutt
Region,zidane headbutt
United Kingdom,100
United States,67


Top cities for zidane headbutt
City,zidane headbutt
London (United Kingdom),100



Top searches for zidane headbutt
video zidane headbutt,100
zidane video,100
zidane game,60
zidane headbutt game,60
zidane head,55
world cup headbutt,55
zidane head butt,45
zinedine zidane headbutt,40
zinedine zidane,40
zidane materazzi,30
zidane headbut,20
why zidane headbutt,15



Rising searches for zidane headbutt
video zidane headbutt,Breakout
why zidane headbutt,Breakout
world cup headbutt,Breakout
zidane game,Breakout
zidane head,Breakout
zidane head butt,Breakout
zidane headbut,Breakout
zidane headbutt game,Breakout
zidane materazzi,Breakout
zidane video,Breakout



